Time	PM 10	PM 2.5
16:07:26	38,4	34,1
16:07:27	45,7	40,8
16:07:28	52,2	46,6
16:07:29	64,0	57,1
16:07:30	70,0	62,5
16:07:31	72,6	64,9
16:07:32	241,0	95,4
16:07:33	297,1	131,7
16:07:34	338,1	158,8
16:07:35	354,6	173,4
16:07:36	411,2	207,1
16:07:37	456,9	240,2
16:07:38	502,2	274,3
16:07:39	537,9	302,5
16:07:40	553,3	315,8
16:07:41	568,7	329,0
16:07:42	576,0	334,5
16:07:43	587,1	343,0
16:07:44	592,9	347,1
16:07:45	594,9	348,8
